     State    L_A 2S_A+1      n      l  E_j^X  E_lim    E_j   N_eq       Core    L_c 2S_c+1          G
    2p4.3P      1      3      2      1      0 109759      0      4     O+.4So      0      4     -0.577
    2p4.3P      1      3      2      1      0 136577      0      4     O+.2Do      2      2      0.645
    2p4.3P      1      3      2      1      0 150228      0      4     O+.2Po      1      2     -0.500
    2p4.1D      2      1      2      1  15790 136577  15790      4     O+.2Do      2      2      0.866
    2p4.1D      2      1      2      1  15790 150228  15790      4     O+.2Po      1      2     -0.500
    2p4.1S      0      1      2      1  33715 150228  33715      4     O+.2Po      1      2      1.000
    3s.5So      0      5      3      0  73690 109759  73690      1     O+.4So      0      4      1.000
    3s.3So      0      3      3      0  76717 109759  76717      1     O+.4So      0      4      1.000
 2p4.3P_H*      1      3      2      1      0 109759  82259      4     O+.4So      0      4     -0.577
 2p4.3P_H*      1      3      2      1      0 136577  82259      4     O+.2Do      2      2      0.645
 2p4.3P_H*      1      3      2      1      0 150228  82259      4     O+.2Po      1      2     -0.500
     3p.5P      1      5      3      1  86551 109759  86551      1     O+.4So      0      4      1.000
     3p.3P      1      3      3      1  88553 109759  88553      1     O+.4So      0      4      1.000
    4s.5So      0      5      4      0  95399 109759  95399      1     O+.4So      0      4      1.000
    4s.3So      0      3      4      0  96147 109759  96147      1     O+.4So      0      4      1.000
    3d.5Do      2      5      3      2  97343 109759  97343      1     O+.4So      0      4      1.000
    3d.3Do      2      3      3      2  97411 109759  97411      1     O+.4So      0      4      1.000
     4p.5P      1      5      4      1  99016 109759  99016      1     O+.4So      0      4      1.000
     4p.3P      1      3      4      1  99603 109759  99603      1     O+.4So      0      4      1.000
    3s.3Do      2      3      3      0 101065 136577 101065      1     O+.2Do      2      2      1.000
    5s.5So      0      5      5      0 102039 109759 102039      1     O+.4So      0      4      1.000
    5s.3So      0      3      5      0 102334 109759 102334      1     O+.4So      0      4      1.000
    3s.1Do      2      1      3      0 102584 136577 102584      1     O+.2Do      2      2      1.000
    O+.4So      0      4      0      0 109759      0 103676      0     O+.4So      0      4      0.000
    O+.2Do      2      2      0      0 136577      0 130494      0     O+.2Do      2      2      0.000
    O+.2Po      1      2      0      0 150228      0 144145      0     O+.2Po      1      2      0.000
