      Star               S/N    ab(Cr)  [Cr/Fe]   ab(Mn)  [Mn/Fe]   ab(Co)  [Co/Fe]   ab(Ni)  [Ni/Fe]   ab(Zn)  [Zn/Fe]    ab(Y)   [Y/Fe]   ab(Zr)  [Zr/Fe]   ab(La)  [La/Fe]   ab(Ce)  [Ce/Fe]   ab(Nd)  [Nd/Fe]   ab(Sm)  [Sm/Fe]   ab(Eu)  [Eu/Fe]
 
        CS22175-007       31      1.37    -1.50     1.09    -1.50     1.89    -0.22     1.99    -1.45     2.76     0.96    -0.86    -0.29     0.69     0.89    -0.62     1.01     0.22     1.45    -0.15     1.16     0.28     2.07    -1.30     0.99
        CS22186-023       55      1.02    -1.93     0.64    -2.02     1.44    -0.76     1.57    -1.96     2.40     0.53    -1.38    -0.90     0.26     0.38    -1.07     0.48    -0.18     0.96    -0.63     0.59    -0.12     1.59    -1.80     0.42
        CS22186-025       32      1.24    -1.56     0.88    -1.64     1.69    -0.35     1.95    -1.43     2.58     0.85    -1.21    -0.58     0.34     0.61    -0.97     0.73    -0.16     1.13    -0.49     0.88    -0.08     1.78    -1.67     0.69
        CS22886-042       39      0.96    -2.03     0.62    -2.10     1.46    -0.78     1.59    -1.98     2.45     0.53    -1.33    -0.90     0.24     0.32    -1.11     0.40    -0.22     0.88    -0.66     0.52    -0.20     1.47    -1.76     0.41
        CS22892-052       46      0.89    -1.83     0.57    -1.87     1.39    -0.58     1.45    -1.85     2.35     0.69    -1.51    -0.81     0.16     0.50    -1.29     0.49    -0.38     0.99    -0.76     0.69    -0.30     1.64    -1.98     0.45
        CS22945-028       31      1.32    -1.69     1.00    -1.73     1.83    -0.43     1.94    -1.65     2.74     0.80    -0.85    -0.43     0.73     0.80    -0.69     0.80     0.18     1.26    -0.15     1.01     0.33     1.98    -1.36     0.80
        CS22957-013       35      1.03    -2.00     0.68    -2.07     1.46    -0.82     1.68    -1.93     2.53     0.57    -1.24    -0.84     0.33     0.37    -1.02     0.45    -0.17     0.88    -0.57     0.57    -0.10     1.52    -1.68     0.45
        CS22958-083       32      1.27    -1.61     0.99    -1.61     1.76    -0.37     1.88    -1.58     2.67     0.86    -1.01    -0.46     0.66     0.85    -0.78     0.84     0.10     1.31    -0.30     0.99     0.21     1.98    -1.42     0.86
        CS22960-010       35      1.91    -1.10     1.77    -0.97     2.46     0.19     2.71    -0.89     3.38     1.43     0.22     0.63     1.80     1.85     0.49     1.98     1.33     2.40     0.99     2.14     1.41     3.05    -0.26     1.88
        CS29491-069       57      1.03    -1.83     0.70    -1.89     1.44    -0.67     1.62    -1.82     2.44     0.65    -1.30    -0.74     0.39     0.60    -0.96     0.68    -0.05     1.18    -0.48     0.82    -0.11     1.69    -1.65     0.64
        CS29491-109       50      0.64    -2.13     0.33    -2.16     1.19    -0.83     1.24    -2.11     2.19     0.49    -1.74    -1.08    -0.05     0.25    -1.48     0.25    -0.59     0.73    -1.03     0.37    -0.54     1.35    -2.23     0.16
        CS29497-004       39      1.01    -1.85     0.74    -1.84     1.54    -0.57     1.65    -1.79     2.52     0.73    -1.25    -0.68     0.43     0.64    -1.01     0.63    -0.10     1.13    -0.52     0.79    -0.01     1.79    -1.74     0.56
        CS29510-058       38      1.22    -1.84     0.97    -1.81     1.77    -0.54     1.86    -1.78     2.61     0.62    -1.01    -0.64     0.57     0.58    -0.82     0.62     0.03     1.06    -0.31     0.80     0.13     1.73    -1.50     0.60
        CS30308-035       32      0.99    -1.33     0.63    -1.41     1.46    -0.11     1.56    -1.34     2.52     1.27    -1.36    -0.25     0.25     1.00    -1.14     1.04    -0.29     1.49    -0.67     1.19    -0.22     2.12    -1.85     0.99
        CS30315-001       37      0.56    -2.13     0.23    -2.18     1.11    -0.84     1.18    -2.10     2.22     0.60    -1.80    -1.06    -0.21     0.17    -1.60     0.21    -0.77     0.63    -1.14     0.34    -0.66     1.31    -2.28     0.19
