      Star               S/N  Teff   err  logg  errR  errA [Fe/H] errR  errA  micro errR  errA     ab(C)  errR  errA  [C/Fe]  errR  errA   N N3    ab(Mg)  errR  errA [Mg/Fe]  errR  errA   N N3    ab(Al)  errR  errA [Al/Fe]  errR  errA   N N3    ab(Ca)  errR  errA [Ca/Fe]  errR  errA   N N3    ab(Sc)  errR  errA [Sc/Fe]  errR  errA   N N3    ab(Ti)  errR  errA [Ti/Fe]  errR  errA   N N3     ab(V)  errR  errA  [V/Fe]  errR  errA   N N3    ab(Cr)  errR  errA [Cr/Fe]  errR  errA   N N3    ab(Mn)  errR  errA [Mn/Fe]  errR  errA   N N3    ab(Fe)  errR  errA [Fe/Fe]  errR  errA   N N3    ab(Co)  errR  errA [Co/Fe]  errR  errA   N N3    ab(Ni)  errR  errA [Ni/Fe]  errR  errA   N N3    ab(Zn)  errR  errA [Zn/Fe]  errR  errA   N N3    ab(Sr)  errR  errA [Sr/Fe]  errR  errA   N N3     ab(Y)  errR  errA  [Y/Fe]  errR  errA   N N3    ab(Zr)  errR  errA [Zr/Fe]  errR  errA   N N3    ab(Ba)  errR  errA [Ba/Fe]  errR  errA   N N3    ab(La)  errR  errA [La/Fe]  errR  errA   N N3    ab(Ce)  errR  errA [Ce/Fe]  errR  errA   N N3    ab(Nd)  errR  errA [Nd/Fe]  errR  errA   N N3    ab(Sm)  errR  errA [Sm/Fe]  errR  errA   N N3    ab(Eu)  errR  errA [Eu/Fe]  errR  errA   N N3
 
        CS22175-007       31  5108   100  2.46  0.26  0.36 -2.81  0.13  0.18  1.67  0.14  0.24      5.77  0.19  0.26    0.19  0.18  0.27   1  1      5.15  0.12  0.18    0.37  0.15  0.24   7  4      2.54  0.17  0.25   -1.12  0.18  0.26   1  1      3.87  0.12  0.20    0.31  0.15  0.25   9  5      0.49  0.18  0.23    0.13  0.16  0.25   5  3      2.56  0.17  0.22    0.34  0.15  0.24  17  8     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.52  0.17  0.24   -0.35  0.16  0.24   3  3      1.84  0.17  0.22   -0.74  0.16  0.23   5  3      4.69  0.13  0.18    0.00  0.14  0.22  55 35      2.35  0.15  0.22    0.24  0.15  0.24   6  4      3.70  0.20  0.30    0.25  0.19  0.28   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.33  0.20  0.30    0.16  0.19  0.29   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -1.15  0.21  0.25   -0.47  0.18  0.26   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        CS22186-023       55  5066   100  2.19  0.24  0.34 -2.72  0.13  0.18  1.58  0.11  0.21      5.97  0.19  0.25    0.30  0.18  0.27   1  1      4.99  0.12  0.18    0.14  0.15  0.23   7  6      2.78  0.15  0.24   -0.97  0.16  0.26   1  1      3.77  0.12  0.20    0.13  0.15  0.25   9  7      0.46  0.17  0.23    0.01  0.15  0.24   5  4      2.44  0.16  0.21    0.15  0.15  0.23  17 14     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.68  0.16  0.25   -0.27  0.15  0.25   3  3      2.27  0.15  0.21   -0.39  0.15  0.23   5  3      4.78  0.13  0.18    0.00  0.14  0.22  55 50      2.33  0.16  0.22    0.13  0.15  0.24   6  5      3.56  0.17  0.28    0.03  0.17  0.27   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.10  0.19  0.30   -0.14  0.18  0.29   3  2     -0.89  0.18  0.23   -0.41  0.15  0.24   6  2     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -1.52  0.19  0.23   -0.93  0.16  0.25   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   0  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        CS22186-025       32  4985   100  1.70  0.26  0.36 -2.87  0.14  0.19  2.14  0.13  0.23      4.83  0.20  0.27   -0.68  0.19  0.29   1  1      4.99  0.12  0.18    0.28  0.15  0.24   7  3      2.60  0.21  0.27   -1.00  0.21  0.29   1  1      3.75  0.12  0.20    0.26  0.15  0.25   9  3      0.44  0.18  0.23    0.14  0.16  0.24   5  4      2.40  0.15  0.20    0.26  0.14  0.23  17  9     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.35  0.16  0.23   -0.44  0.15  0.23   3  3      1.85  0.16  0.21   -0.67  0.15  0.23   5  3      4.63  0.14  0.19    0.00  0.14  0.22  55 36      2.26  0.15  0.22    0.21  0.15  0.24   6  4      3.12  0.19  0.25   -0.26  0.18  0.25   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -0.20  0.25  0.35   -0.29  0.23  0.33   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.59  0.24  0.31    0.16  0.21  0.30   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        CS22886-042       39  4881   100  1.85  0.25  0.35 -2.68  0.12  0.18  1.84  0.12  0.22      5.72  0.19  0.26    0.01  0.19  0.28   1  1      5.13  0.12  0.18    0.23  0.15  0.23   7  6      2.70  0.17  0.26   -1.10  0.18  0.27   1  1      3.90  0.12  0.20    0.22  0.14  0.25   9  7      0.50  0.17  0.23    0.01  0.16  0.25   5  4      2.50  0.16  0.21    0.16  0.15  0.24  17 13     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.64  0.17  0.26   -0.35  0.17  0.25   3  3      2.20  0.15  0.21   -0.51  0.15  0.23   5  3      4.82  0.12  0.18    0.00  0.14  0.22  55 47      2.34  0.14  0.21    0.10  0.15  0.24   6  5      3.46  0.19  0.28   -0.11  0.19  0.27   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.13  0.20  0.30   -0.16  0.19  0.29   3  2     -0.68  0.18  0.23   -0.25  0.16  0.25   6  2     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.67  0.24  0.31   -0.12  0.22  0.30   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        CS22892-052       46  4884   100  1.81  0.26  0.36 -2.95  0.14  0.19  1.67  0.12  0.22      6.44  0.19  0.26    1.00  0.18  0.28   1  1      4.75  0.13  0.19    0.12  0.15  0.24   5  5      2.79  0.16  0.26   -0.72  0.18  0.28   1  1      3.63  0.12  0.20    0.22  0.15  0.25   5  3      0.20  0.17  0.22   -0.01  0.15  0.24   3  2      2.12  0.15  0.20    0.05  0.14  0.22  11  8     -9.99  0.00  0.00   -9.99  0.00  0.00   0  0      2.25  0.17  0.25   -0.47  0.17  0.25   1  1      1.77  0.12  0.20   -0.67  0.15  0.23   4  2      4.55  0.14  0.19    0.00  0.14  0.22  35 27      1.99  0.15  0.22    0.02  0.15  0.24   4  4      3.39  0.20  0.29    0.09  0.18  0.27   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   1  0      0.63  0.16  0.23    0.61  0.15  0.24   2  2     -0.26  0.18  0.23    0.45  0.15  0.24   4  3     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.37  0.16  0.21    1.19  0.15  0.23   2  1     -0.76  0.18  0.23    1.02  0.16  0.24   3  3     -9.99  0.00  0.00   -9.99  0.00  0.00   7  0     -0.31  0.19  0.23    1.14  0.16  0.24   5  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -0.90  0.18  0.23    1.54  0.15  0.24   3  3
        CS22945-028       31  5126   100  2.55  0.26  0.36 -2.66  0.13  0.18  1.53  0.14  0.24      5.93  0.19  0.26    0.21  0.18  0.27   1  1      5.24  0.13  0.18    0.32  0.15  0.23   7  4      2.83  0.18  0.26   -0.97  0.19  0.28   1  1      4.03  0.11  0.20    0.33  0.15  0.25   9  6      0.47  0.18  0.23   -0.04  0.16  0.25   5  2      2.57  0.16  0.21    0.22  0.15  0.24  17  8     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.77  0.18  0.26   -0.24  0.17  0.25   3  3      2.18  0.18  0.23   -0.55  0.16  0.24   5  3      4.84  0.13  0.18    0.00  0.14  0.22  55 38      2.39  0.16  0.22    0.14  0.15  0.25   6  4      3.61  0.22  0.30    0.02  0.21  0.29   4  3     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.37  0.21  0.30    0.06  0.20  0.29   3  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.66  0.23  0.28   -0.13  0.20  0.28   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        CS22957-013       35  4904   100  1.96  0.25  0.35 -2.64  0.14  0.19  1.79  0.12  0.22      5.85  0.19  0.26    0.10  0.17  0.27   1  1      5.11  0.11  0.18    0.17  0.16  0.24   7  5      2.89  0.20  0.26   -0.94  0.20  0.28   1  1      3.91  0.12  0.20    0.19  0.15  0.25   9  7      0.59  0.18  0.23    0.06  0.15  0.24   5  4      2.54  0.15  0.21    0.16  0.14  0.22  17 13     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.49  0.18  0.26   -0.54  0.16  0.25   3  3      2.25  0.16  0.22   -0.50  0.15  0.23   5  3      4.86  0.14  0.19    0.00  0.14  0.22  55 44      2.46  0.16  0.23    0.18  0.15  0.24   6  5      3.52  0.21  0.30   -0.09  0.19  0.28   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.06  0.20  0.31   -0.27  0.19  0.30   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -1.06  0.21  0.27   -0.54  0.18  0.25   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        CS22958-083       32  5101   100  2.40  0.26  0.36 -2.79  0.12  0.18  1.50  0.13  0.23      6.24  0.20  0.26    0.64  0.18  0.27   1  1      5.19  0.12  0.18    0.40  0.15  0.23   7  6      2.80  0.17  0.26   -0.88  0.19  0.28   1  1      3.89  0.12  0.20    0.32  0.15  0.24   9  6      0.41  0.19  0.24    0.03  0.17  0.26   5  3      2.52  0.16  0.21    0.29  0.15  0.24  17 10     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.78  0.17  0.27   -0.10  0.17  0.27   3  3      2.33  0.16  0.22   -0.27  0.16  0.24   5  3      4.71  0.12  0.18    0.00  0.14  0.22  55 37      2.41  0.16  0.22    0.28  0.15  0.24   6  5      3.74  0.19  0.29    0.28  0.19  0.29   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.12  0.21  0.31   -0.06  0.21  0.31   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -1.65  0.19  0.24   -0.99  0.17  0.26   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   0  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        CS22960-010       35  5737   100  4.85  0.25  0.35 -2.65  0.12  0.17  1.53  0.17  0.27      6.56  0.17  0.24    0.82  0.16  0.25   1  1      5.18  0.13  0.19    0.25  0.15  0.24   7  1      2.90  0.14  0.21   -0.92  0.15  0.25   1  1      3.97  0.12  0.20    0.27  0.14  0.24   9  3      0.69  0.18  0.23    0.17  0.17  0.27   5  1      2.57  0.16  0.21    0.20  0.16  0.26  17  1     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.89  0.15  0.20   -0.13  0.15  0.23   3  3      2.46  0.15  0.20   -0.28  0.15  0.24   5  3      4.85  0.12  0.17    0.00  0.14  0.22  55 29     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0      3.53  0.16  0.21   -0.06  0.16  0.24   4  3     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
