     State    L_A 2S_A+1      n      l  E_j^X  E_lim    E_j   N_eq       Core    L_c 2S_c+1          G
       a5D      2      5      4      0      0  63335      0      2    Fe+.a6D      2      6      0.775
       a5D      2      5      4      0      0  71239      0      2    Fe+.a4D      2      4     -0.632
       a5F      3      5      4      0   7057  65335   7057      1    Fe+.a4F      3      4      1.000
       a3F      3      3      4      0  12004  65335  12004      1    Fe+.a4F      3      4      1.000
       a5P      1      5      4      0  17282  76531  17282      1    Fe+.a4P      1      4      1.000
      a3P2      1      3      4      0  18378  89088  18378      2    Fe+.b2P      1      2     -0.577
      a3P2      1      3      4      0  18551  84340  18551      2    Fe+.b4P      1      4      0.816
       a3H      5      3      4      0  19173  84952  19173      2    Fe+.a4H      5      4      0.816
       a3H      5      3      4      0  19173  89172  19173      2    Fe+.b2H      5      2     -0.577
      z7Do      2      7      4      1  19221  63335  19221      1    Fe+.a6D      2      6      1.000
      b3F2      3      3      4      0  20411  86337  20411      2    Fe+.b4F      3      4      0.816
      b3F2      3      3      4      0  20411  90365  20411      2    Fe+.a2F      3      2     -0.577
       a3G      4      3      4      0  21546  78997  21546      1    Fe+.a2G      4      2      1.000
       b3P      1      3      4      0  22495  76531  22495      1    Fe+.a4P      1      4      1.000
      z7Fo      3      7      4      1  22525  63335  22525      1    Fe+.a6D      2      6      1.000
       b3G      4      3      4      0  23636  88669  23636      2    Fe+.a4G      4      4      0.816
       b3G      4      3      4      0  23636  93474  23636      2    Fe+.b2G      4      2     -0.577
      z7Po      1      7      4      1  23654  63335  23654      1    Fe+.a6D      2      6      1.000
       c3P      1      3      4      0  24162  81455  24162      1    Fe+.a2P      1      2      1.000
       a1G      4      1      4      0  24172  78997  24172      1    Fe+.a2G      4      2      1.000
      z5Do      2      5      4      1  25748  63335  25748      1    Fe+.a6D      2      6      0.707
      z5Do      2      5      4      1  25748  71239  25748      1    Fe+.a4D      2      4     -0.707
       b3H      5      3      4      0  25927  83471  25927      1    Fe+.a2H      5      2      1.000
       a3D      2      3      4      0  25991  83752  25991      1   Fe+.a2D2      2      2      1.000
      z5Fo      3      5      4      1  26817  63335  26817      1    Fe+.a6D      2      6      0.707
      z5Fo      3      5      4      1  26817  71239  26817      1    Fe+.a4D      2      4     -0.707
       a1P      1      1      4      0  27140  81455  27140      1    Fe+.a2P      1      2      1.000
       a1D      2      1      4      0  28202  83752  28202      1   Fe+.a2D2      2      2      1.000
       a1H      5      1      4      0  28417  83471  28417      1    Fe+.a2H      5      2      1.000
       a1I      6      1      4      0  28910  95810  28910      2    Fe+.a2I      6      2      1.000
      z5Po      1      5      4      1  28926  63335  28926      1    Fe+.a6D      2      6      0.707
      z5Po      1      5      4      1  28926  71239  28926      1    Fe+.a4D      2      4     -0.707
       b3D      2      3      4      0  28953  71239  28953      2    Fe+.a4D      2      4      0.707
       b3D      2      3      4      0  28953  94338  28953      2    Fe+.b4D      2      4     -0.707
      b1G2      4      1      4      0  29396  93474  29396      2    Fe+.b2G      4      2      1.000
      z3Do      2      3      4      1  31164  71239  31164      1    Fe+.a4D      2      4      1.000
      z3Fo      3      3      4      1  31267  71239  31267      1    Fe+.a4D      2      4      1.000
       c3F      3      3      3      2  32863  83471  32863      8    Fe+.a2H      5      2      0.443
       c3F      3      3      3      2  32863  78997  32863      8    Fe+.a2G      4      2      0.401
       c3F      3      3      3      2  32863  65335  32863      8    Fe+.a4F      3      4      0.632
       c3F      3      3      3      2  32863  94838  32863      8    Fe+.b2F      3      2     -0.148
       c3F      3      3      3      2  32863  83752  32863      8   Fe+.a2D2      2      2      0.164
       c3F      3      3      3      2  32863 110812  32863      8   Fe+.d2D1      2      2     -0.250
       c3F      3      3      3      2  32863  76531  32863      8    Fe+.a4P      1      4     -0.316
       c3F      3      3      3      2  32863  81455  32863      8    Fe+.a2P      1      2      0.169
      y5Do      2      5      4      1  33101  65335  33101      1    Fe+.a4F      3      4      1.000
      y5Fo      3      5      4      1  33715  65335  33715      1    Fe+.a4F      3      4      1.000
      z3Po      1      3      4      1  33750  71239  33750      1    Fe+.a4D      2      4      1.000
      b1D2      2      1      4      0  34234 101103  34234      2    Fe+.c2D      2      2      1.000
      z5Go      4      5      4      1  34741  65335  34741      1    Fe+.a4F      3      4      1.000
      z3Go      4      3      4      1  35287  65335  35287      1    Fe+.a4F      3      4      1.000
       d3F      3      3      4      0  36594  94838  36594      1    Fe+.b2F      3      2      1.000
      y5Po      1      5      4      1  36623  63335  36623      1    Fe+.a6D      2      6      0.707
      y5Po      1      5      4      1  36623  71239  36623      1    Fe+.a4D      2      4     -0.707
      y3Fo      3      3      4      1  36641  65335  36641      1    Fe+.a4F      3      4      1.000
      y3Do      2      3      4      1  38104  65335  38104      1    Fe+.a4F      3      4      1.000
      x5Do      2      5      4      1  39568  63335  39568      1    Fe+.a6D      2      6      0.707
      x5Do      2      5      4      1  39568  71239  39568      1    Fe+.a4D      2      4     -0.707
      y7Po      1      7      4      1  39859  86239  39859      1    Fe+.a6S      0      6      1.000
      x5Fo      3      5      4      1  40242  63335  40242      1    Fe+.a6D      2      6      0.707
      x5Fo      3      5      4      1  40242  71239  40242      1    Fe+.a4D      2      4     -0.707
      z5So      0      5      4      1  40492  84340  40492      1    Fe+.b4P      1      4      1.000
        3P      1      3      3      2  40611  65335  40611      8    Fe+.a4F      3      4     -0.483
        3P      1      3      3      2  40611  94838  40611      8    Fe+.b2F      3      2     -0.483
        3P      1      3      3      2  40611  83752  40611      8   Fe+.a2D2      2      2     -0.382
        3P      1      3      3      2  40611 110812  40611      8   Fe+.d2D1      2      2     -0.250
        3P      1      3      3      2  40611  76531  40611      8    Fe+.a4P      1      4     -0.183
        3P      1      3      3      2  40611  81455  40611      8    Fe+.a2P      1      2     -0.242
      x5Po      1      5      4      1  42348  84340  42348      1    Fe+.b4P      1      4      1.000
      y5Go      4      5      4      1  42563  84378  42563      1    Fe+.a4H      5      4      1.000
      z5Ho      5      5      4      1  42780  84378  42780      1    Fe+.a4H      5      4      1.000
       e7D      2      7      5      0  42824  63335  42824      1    Fe+.a6D      2      6      1.000
      z5Io      6      5      4      1  42833  84378  42833      1    Fe+.a4H      5      4      1.000
      w5Do      2      5      4      1  43500  84340  43500      1    Fe+.b4P      1      4      1.000
      v5Do      2      5      4      1  43909  85726  43909      1    Fe+.b4F      3      4      1.000
      w5Fo      3      5      4      1  43963  85726  43963      1    Fe+.b4F      3      4      1.000
      y5So      0      5      4      1  44109  76531  44109      1    Fe+.a4P      1      4      1.000
       e5D      2      5      5      0  44650  63335  44650      1    Fe+.a6D      2      6      1.000
      x3Do      2      3      4      1  44904  84340  44904      1    Fe+.b4P      1      4      0.707
      x3Do      2      3      4      1  44904  89088  44904      1    Fe+.b2P      1      2     -0.707
      y3Go      4      3      4      1  45005  84378  45005      1    Fe+.a4H      5      4      0.707
      y3Go      4      3      4      1  45005  89172  45005      1    Fe+.b2H      5      2     -0.707
      x5Go      4      5      4      1  45366  85726  45366      1    Fe+.b4F      3      4      1.000
      z3Io      6      3      4      1  45636  84378  45636      1    Fe+.a4H      5      4      0.707
      z3Io      6      3      4      1  45636  89172  45636      1    Fe+.b2H      5      2     -0.707
      w5Po      1      5      4      1  45848  76531  45848      1    Fe+.a4P      1      4      1.000
      z3So      0      3      4      1  46198  84340  46198      1    Fe+.b4P      1      4      0.707
      z3So      0      3      4      1  46198  89088  46198      1    Fe+.b2P      1      2     -0.707
      y3Po      1      3      4      1  46376  84340  46376      1    Fe+.b4P      1      4      0.707
      y3Po      1      3      4      1  46376  89088  46376      1    Fe+.b2P      1      2     -0.707
      u5Do      2      5      4      1  46431  76531  46431      1    Fe+.a4P      1      4      1.000
      z3Ho      5      3      4      1  46622  84378  46622      1    Fe+.a4H      5      4      0.707
      z3Ho      5      3      4      1  46622  89172  46622      1    Fe+.b2H      5      2     -0.707
      x3Fo      3      3      4      1  46627  85726  46627      1    Fe+.b4F      3      4      0.707
      x3Fo      3      3      4      1  46627  90365  46627      1    Fe+.a2F      3      2     -0.707
      w3Do      2      3      4      1  46705  76531  46705      1    Fe+.a4P      1      4      1.000
       1Do      2      1      4      1  47017  89088  47017      1    Fe+.b2P      1      2      1.000
      z1Go      4      1      4      1  47050  78997  47050      1    Fe+.a2G      4      2      1.000
       e5F      3      5      5      0  47100  65335  47100      1    Fe+.a4F      3      4      1.000
      w5Go      4      5      4      1  47123  88669  47123      1    Fe+.a4G      4      4      1.000
