     State    L_A 2S_A+1      n      l  E_j^X  E_lim    E_j   N_eq       Core    L_c 2S_c+1          G
    3p2.3P      1      3      3      1      0  65747      0      2   SiII.2Po      1      2      1.000
    3p2.1D      2      1      3      1   6298  65747   6298      2   SiII.2Po      1      2      1.000
    3p2.1S      0      1      3      1  15394  65747  15394      2   SiII.2Po      1      2      1.000
   3p3.5So      0      5      3      1  33326 108572  33326      3   SiII.4pe      1      4      1.000
  3p4s.3Po      1      3      4      0  39683  65747  39683      1   SiII.2Po      1      2      1.000
  3p4s.1Po      1      1      4      0  40991  65747  40991      1   SiII.2Po      1      2      1.000
   3p3.3Do      2      3      3      1  45276 108572  45276      3   SiII.4pe      1      4      0.667
   3p4p.1P      1      1      4      1  47284  65747  47284      1   SiII.2Po      1      2      1.000
  3p3d.1Do      2      1      3      2  47351  65747  47351      1   SiII.2Po      1      2      1.000
   3p4p.3D      2      3      4      1  48020  65747  48020      1   SiII.2Po      1      2      1.000
   3p4p.3P      1      3      4      1  49028  65747  49028      1   SiII.2Po      1      2      1.000
   3p4p.3S      0      3      4      1  49399  65747  49399      1   SiII.2Po      1      2      1.000
  3p3d.3Fo      3      3      3      2  49850  65747  49850      1   SiII.2Po      1      2      1.000
   3p4p.1D      2      1      4      1  50189  65747  50189      1   SiII.2Po      1      2      1.000
  3p3d.3Po      1      3      3      2  50499  65747  50499      1   SiII.2Po      1      2      1.000
   3p4p.1S      0      1      4      1  51612  65747  51612      1   SiII.2Po      1      2      1.000
  3p3d.1Fo      3      1      3      2  53362  65747  53362      1   SiII.2Po      1      2      1.000
  3p3d.1Po      1      1      3      2  53387  65747  53387      1   SiII.2Po      1      2      1.000
  3p3d.3Do      2      3      3      2  54185  65747  54185      1   SiII.2Po      1      2      1.000
  3p5s.3Po      1      3      5      0  54245  65747  54245      1   SiII.2Po      1      2      1.000
  3p5s.1Po      1      1      5      0  54871  65747  54871      1   SiII.2Po      1      2      1.000
  3p4d.1Do      2      1      4      2  56503  65747  56503      1   SiII.2Po      1      2      1.000
  3p4d.3Po      1      3      4      2  56690  65747  56690      1   SiII.2Po      1      2      1.000
   3p5p.1P      1      1      5      1  56780  65747  56780      1   SiII.2Po      1      2      1.000
   3p5p.3D      2      3      5      1  56978  65747  56978      1   SiII.2Po      1      2      1.000
   3p5p.3P      1      3      5      1  57295  65747  57295      1   SiII.2Po      1      2      1.000
  3p4d.3Fo      3      3      4      2  57372  65747  57372      1   SiII.2Po      1      2      1.000
   3p5p.3S      0      3      5      1  57541  65747  57541      1   SiII.2Po      1      2      1.000
   3p5p.1D      2      1      5      1  57798  65747  57798      1   SiII.2Po      1      2      1.000
   3p5p.1S      0      1      5      1  58311  65747  58311      1   SiII.2Po      1      2      1.000
  SiII.2Po      1      2      0      0  65747      0  59664      0   SiII.2Po      1      2      0.000
  SiII.4pe      1      4      0      0 108571      0 102488      0   SiII.4pe      1      4      0.000
